Product Code (Article Number),Description (Name/Title),Package Qty,Stock Level,Price,
A0044,Utopia Windsor 18/10 Stainless Steel Windsor Gourmet Dessert Spoon,12.0,5,16.92,
A0100,Amefa Saloon 18/10 Stainless Steel Black wood Handled Steak knife,12.0,36,20.88,
A1397,Sugar Tongs Stainless Steel 13.5cm,1.0,97,2.71,
A339,Matfer Bourgeat Exopan Tartlet Mould Plain Round 45mm,25.0,0,44.0,
A9861,Elia Virtu 18/10 Stainless Steel Table Fork,12.0,0,41.95,
AA922,Hepp Ecco 18/10 Stainless Steel Demi-tasse Spoon,12.0,0,17.4,
AB624,Signature Style Lichfield 18/0 Stainless Steel Dessert Knife,12.0,3201,10.32,
AB673,Signature Style Oxford 18/10 Stainless Steel Table Knife,12.0,482,18.0,
AB687,Signature Style Nottingham 18/10 Stainless Steel Soup Spoon,12.0,94,21.72,
AB715,Signature Steel Dubarry 18/0 Stainless Steel Dessert Fork,12.0,0,3.6,
AB756,Signature Steel New Era 18/0 Stainless Steel Plain Table Spoon,12.0,4861,2.28,
AB762,Signature Steel New Era 18/0 Stainless Steel Plain Coffee spoon,12.0,26,0.96,
AB917,Twentyeight Omega 18/10 Stainless Steel Teaspoon,12.0,0,13.92,
AB941,Twentyeight Theta 18/10 Stainless Steel Dessert Knife,12.0,35,6.36,
AB967,Twentyeight Epsilon 18/10 Stainless Steel Dessert Spoon,12.0,66,20.28,
AD616,Genware Saffron 18/10 Stainless Steel Table Knife,12.0,6,26.52,
AD658,Genware Florence 18/0 Stainless Steel Soup Spoon Stainless Steel,12.0,1,13.56,
AD659,Genware Florence 18/0 Stainless Steel Teaspoon Stainless Steel,12.0,35,8.16,
AE043,Amefa Ariane 18/0 Stainless Steel Mocca Spoon,12.0,0,8.4,
AE082,Grunwerg Jubilee 18/10 Stainless Steel Dessert Fork,12.0,0,23.52,
AE142,Twentyeight Phi 18/10 Stainless Steel Table Fork,12.0,162,17.88,
AE222,Signature Style Rocher Spoon Set 3 Sizes 18/10 Stainless Steel,1.0,0,10.8,
AE228,Amefa Porterhouse 18/10 Stainless Steel Steak Knife Brown,12.0,0,94.08,
AE420,Robert Welch Quinton Vintage 18/10 Stainless Steel Soup Spoon,12.0,0,44.16,
AE443,Twentyeight Zeta 18/10 Stainless Steel Dessert Knife,12.0,1385,71.52,
AE496,Folio Bryce 18/10 Stainless Steel Teaspoon,12.0,0,32.04,
AE574,Folio Hartman 18/10 Stainless Steel Dessert Knife,12.0,0,33.0,
AE615,Amefa Integrale 18/10 Stainless Steel Spoon,3.0,0,30.54,
AE654,Steelite Mescana 18/10 Stainless Steel Dessert Knife,12.0,17,73.92,
AE705,Utopia Strauss Dessert Knife,12.0,0,26.52,
AE746,Folio Pirouette 18/10 Stainless Steel Cocktail Fork,12.0,0,31.08,
AE806,Amefa Marta 18/0 Stainless Steel Dessert Spoon,12.0,0,16.44,
AE858,Elia Cosmo 18/10 Stainless Steel Tea Spoon,12.0,50,22.28,
AE889,Elia Vantage 18/10 Stainless Steel Dessert Fork,12.0,0,34.81,
AE893,Elia Vantage 18/10 Stainless Steel Teaspoon,12.0,0,22.12,
AE910,Elia Siena 18/10 Stainless Steel Table Knife Hollow Handle,12.0,11,99.32,
AE947,Elia Serene Stainless Steel Table Fork,12.0,0,54.95,
AE997,Elia Pendula 18/10 Stainless Steel Soup Spoon,12.0,1,40.07,
AF029,Elia Cosmo 18/10 Stainless Steel Fish Knife,12.0,0,37.85,
AF055,Elia Aquila 18/10 Stainless Steel Teaspoon,12.0,0,23.98,
AF074,Elia Zephyr 18/10 Stainless Steel Dessert Spoon,12.0,68,15.98,
AF075,Elia Leila 18/10 Stainless Steel Serving Spoon,2.0,5,13.37,
A0036A,Elia Polar 18/10 Stainless Steel Teaspoon,12.0,0,32.95,
A0213,Chef & Sommelier Ezzo 18/10 Stainless Steel Dessert Fork,12.0,0,53.88,
A0815,Arthur Price 18/10 Stainless Steel Harley Serving Spoon,1.0,0,10.04,
A175,Matfer Bourgeat Dariole Mould Stainless Steel 65mm,1.0,0,35.47,
A1957A,Elia Sirocco 18/10 Stainless Steel Coffee Spoon,12.0,0,39.3,
A4185,Chef & Sommelier Lazzo 18/10 Stainless Steel Cake Fork,12.0,0,26.16,
AB718,Signature Steel Dubarry 18/0 Stainless Steel Teaspoon,12.0,174,2.4,
AB720,Signature Steel Kings 18/0 Stainless Steel Table Fork,12.0,0,4.56,
AB740,Signature Steel Jesmond 18/0 Stainless Steel Dessert Fork,12.0,90,3.72,
AE165,Twentyeight Sigma 18/10 Stainless Steel Dessert Fork,12.0,167,16.8,
AE210,Amefa Austin 18/0 Stainless Steel Stonewash Dessert Spoon,12.0,4,9.48,
AE281,Robert Welch Baguette Bright 18/10 Stainless Steel Table Fork,12.0,56,40.68,
AE421,Robert Welch Quinton Vintage 18/10 Stainless Steel Side Knife,12.0,29,41.04,
AE440,Steelite Folio Alison 18/10 Stainless Steel Teaspoon,12.0,0,32.04,
AE491,Folio Bryce 18/10 Stainless Steel Oval Soup Spoon,12.0,0,54.84,
AE529,Amefa Hammered 18/0 Stainless Steel Ice Teaspoon,12.0,0,14.16,
AE551,Amefa Buffet 18/10 Stainless Steel Copper Gravy Ladle 26cm,6.0,0,87.06,
AE579,Folio Hartman 18/10 Stainless Steel Dinner Knife,12.0,0,37.08,
AE621,Elia Siena Stainless Steel Mustard Spoon,2.0,0,6.26,
AE722,Economy Table Spoon,12.0,9,3.48,
AE730,Utopia Artesia Dessert Spoon,12.0,0,38.52,
AE775,Reuse Leaves 18/0 Stainless Steel Spoon,500.0,0,38.08,
AE777,Amefa Bliss 18/0 Stainless Steel Table Knife,12.0,1,21.12,
AE886,Grunwerg 18/10 Stainless Steel Windsor Dessert Spoon,12.0,11,12.97,
AE891,Elia Vantage 18/10 Stainless Steel Dessert Spoon,12.0,0,34.81,
AE909,Elia Meridia 18/10 Stainless Steel Table Knife Hollow Handle,12.0,0,92.77,
AE920,Elia Infinity 18/10 Stainless Steel Table Spoon,12.0,0,64.3,
AE929,Elia Infinity 18/10 Stainless Steel Soup Spoon,12.0,0,61.67,
AE942,Elia Mirage Solid Handled Table Knife,12.0,0,52.92,
AE976,Elia Lavino 18/10 Stainless Steel Dessert Fork,12.0,0,44.93,
AE986,Elia Glacier 18/10 Stainless Steel Table Spoon,12.0,0,41.15,
AF044,Elia Cosmo 18/10 Stainless Steel Dessert Fork,12.0,20,31.74,
AF054,Elia Serene 18/10 Stainless Steel Teaspoon,12.0,0,26.38,
AF063,Elia Leila 18/10 Stainless Steel Teaspoon,12.0,33,20.74,
B0045,Steelite Taste Vitrified Porcelain White Square Dipper Pot,12.0,0,31.08,
B0119,Steelite Taste Vitrified Porcelain White Round Bowl 16.5cm,24.0,0,69.84,
B0838,Steelite Simplicity Vitrified Porcelain White Harmony Jug 28.5cl,12.0,0,73.8,
B1362,Churchill Ambience Alchemy Fine China White Oval Jug 7.1cl,6.0,3,48.78,
B1367,Arcoroc Restaurant Opal White Round Soup Bowl 16cm,24.0,3,74.16,
B1718,Churchill Compact Vitrified Porcelain White Compact Jug 14.2cl 5oz,4.0,21,22.4,
B1815,Churchill Whiteware Vitrified Porcelain Round Oatmeal Bowl 15.2cm 36cl 12.7oz,24.0,27,63.12,
B1857,Churchill Cookware Vitrified Porcelain White Round Stackable Pie Dish 13.5cm 50cl 17.6oz,12.0,0,61.8,
AB764,Signature Steel Jesmond 18/0 Stainless Steel Table Knife,12.0,161,6.6,
AD530,Sola Oasis 18/10 Stainless Steel Dessert Spoon,12.0,0,48.12,
AD738,Arcoroc Vesca 18/10 Stainless Steel Table Spoon,12.0,0,42.12,
AD901,Profile Soup Spoon,12.0,0,32.88,
AD940,Churchill Isla 18/10 Stainless Steel Dessert Fork,12.0,0,41.88,
AE050,Amefa Drift 18/10 Stainless Steel Table Spoon,12.0,0,28.44,
AE183,Amefa Premiere Oxford 18/10 Stainless Steel Teaspoon,12.0,28,17.4,
AE227,Amefa Hercule 13/0 Stainless Steel Riveted Wood Handled Steak Knife,6.0,3,31.86,
AE282,Robert Welch Baguette Bright 18/10 Stainless Steel Soup Spoon,12.0,10,40.68,
AE695,Amefa Moderno 18/10 Stainless Steel Dessert Spoon,12.0,0,13.68,
AE729,Utopia Artesia Dessert Fork,12.0,0,38.52,
AE769,Elia Spirit Round Soup Spoons 18/0 Stainless Steel,12.0,0,16.96,
AE774,Reuse Leaves 18/0 Stainless Steel Fork,500.0,0,30.83,
AE827,Sambonet Dream Steak Knife,1.0,0,4.5,
AE939,Elia Mystere 18/10 Stainless Steel Dessert Fork,12.0,0,52.12,
AE948,Elia Mystere 18/10 Stainless Steel Fish Knife,12.0,0,50.39,
AE970,Elia Pendula 18/10 Stainless Steel Table Knife,12.0,2,45.79,
AE979,Elia Pendula 18/10 Stainless Steel Dessert Knife,12.0,0,43.85,
AF006,Elia Mirage Dessert Fork,12.0,0,39.1,
AF034,Elia Cosmo 18/10 Stainless Steel Table Spoon,12.0,0,37.29,
AF057,Elia Leila Stainless Steel Cheese Knife,6.0,0,24.19,
B0826,Steelite Simplicity Vitrified Porcelain White Oil & Vinegar Replacement Lid,12.0,0,27.48,
B1839,Churchill Classic Vitrified Porcelain White Round Plate 25.4cm,24.0,16,110.16,
B1853,Churchill Nova Vitrified Porcelain White Round Rimmed Soup Bowl 21cm,24.0,0,86.16,
B2079,Revol French Classics Porcelain White Round Souffle Dish 11.8x5.4cm 37cl,4.0,0,49.28,
B2082,Revol French Classics Porcelain White Round Fluted Ramekin 10.5x5cm 25cl,4.0,7,37.24,
B2150,Belle Cuisine Casserole Dish C/W Lid White 25cl,4.0,62,5.96,
B2342,Elia Orientix Bone China White Dew Drop Plate 33cm,4.0,0,132.0,
B3655GR,Steelite Rio Vitrified Porcelain Round Green Oatmeal Bowl 14cm,36.0,0,162.36,
B4370,Steelite Simplicity Vitrified Porcelain White Empire Low Cup 22.75cl,36.0,15,89.64,
B4945,Churchill Balance Alchemy Fine China White Round Coupe Bowl 26.8cm,6.0,11,82.26,
B5005,Churchill Alchemy White Fine China Elegant Cup 20.6cl,24.0,0,125.04,
B5022,Churchill Alchemy White Fine China Jug 5oz 13.75cl,6.0,19,50.16,
B6294BL,Emile Henry Gastronorm Black Ceramic 1/3 100mm,1.0,35,31.63,
AF076,Elia Leila 18/10 Stainless Steel Serving Fork,2.0,1,13.37,
B1096,Churchill Ambience Alchemy Fine China White Oval Teapot 71cl,6.0,0,139.26,
B1360,Arcoroc Restaurant Opal White Round Plate 25cm,12.0,0,66.0,
B1400,Pudding Basin Earthernware 1.5ltr 17cm,1.0,0,8.01,
B1821,Churchill Whiteware Vitrified Porcelain Sandringham Salt Pot 8.4cm,12.0,0,69.36,
B1828,Churchill White Holloware Vitrified Porcelain White Sandringham Jug 28cl 9.9oz,4.0,0,33.2,
B2130,Revol Les Essentiels Porcelain White Round Classic Butter Pot 3cl,6.0,0,43.08,
B3655PI,Steelite Rio Vitrified Porcelain Round Pink Oatmeal Bowl 14cm,36.0,0,162.36,
B4398,Steelite Simplicity Vitrified Porcelain White Round Handled Stacking Soup Cup 10oz,36.0,0,171.36,
B4951,Churchill Balance Alchemy Fine China White Round Coupe Bowl 4.83ltr,4.0,0,190.12,
B5004,Churchill Alchemy White Fine China Round Coffer Saucer 5 Inch,24.0,2,73.92,
B5029,Churchill Alchemy White Fine China Teapot 15oz 41.25cl,6.0,15,113.94,
B5030,Churchill Alchemy White Fine China Teapot 25oz,6.0,6,144.3,
B5794,Steelite Monaco Vitrified Porcelain White Vogue Jug 8cl,12.0,0,65.76,
B6622,Steelite Simplicity Vitrified Porcelain White Oval Coupe Plate 39.5cm,6.0,0,111.0,
B6644,Steelite Simplicity Vitrified Porcelain White Club Mug 26cl,36.0,10,108.36,
B7116,Churchill Chateau Blanc Vitrified Porcelain White Oval Platter 35.6cm,12.0,0,237.72,
B7236,Pot In Porcelain Pillivuyt 10 cl,12.0,0,56.52,
B8010MN,Steelite Monaco Vitrified Porcelain White Cup Stackable 21.25cl,36.0,0,161.28,
B8109,Steelite Monaco Vitrified Porcelain White Quadro Plate Square 23x23cm,24.0,0,200.64,
B8307,Churchill Classic Vitrified Porcelain White Round Pasta/Soup Bowl 28cm 68.2cl 24oz,12.0,0,99.0,
B9021YE,Steelite Rio Vitrified Porcelain Yellow Stacking Cup 20cl,36.0,0,186.48,
B914/46,WearerTech Defend Black Microfibre Unisex Clog With Safety Toe Cap,1.0,0,35.76,
B918/10,WearerTech Defend Black Microfibre Unisex Slip On Safety Shoe,1.0,0,38.47,
B9308WH,Steelite Simplicity Cookware Vitrified Porcelain White Round Ramekin 11.5cl,36.0,0,71.64,
B9315WH,Steelite Simplicity Cookware Vitrified Porcelain White Square Roaster 25.5x25.5cm,6.0,0,89.46,
BA582,Steelite Spyro Vitrified Porcelain White Low Cup 34cl,36.0,0,272.84,
BA783,Churchill Art De Cuisine Igneous Stoneware Natural Small Pie Dish 14cm 40cl 14oz,6.0,14,33.54,
BA794,Churchill Café Vitrified Porcelain White Cappuccino Cup 46cl 16.2oz,6.0,0,32.59,
BB024,Churchill Ambience Alchemy Fine China White Round Saucer 16.2cm For BB023,6.0,0,24.88,
BB145,Churchill Bespoke Alchemy Fine China Stacking Teacup 7.5oz,24.0,26,24.23,
BB449,Churchill Profile Vitrified Porcelain White Round Rimmed Bowl 24.9cm 50cl 17.6oz,12.0,0,59.85,
